Empreendimento,Unidade,Tipo,Área Privativa (m²),Situação,Valor VGV,Valor m²,Chave
PALM BEACH,Apto 1901,3S,"128,28",Vendida,"R$ 3.307.920,00","R$ 25.786,72",
CORAL GABLES,Apartamento2101,3S,"128,79",Vendida,"R$ 2.995.334,03","R$ 23.257,50",
CORAL GABLES,Apartamento2301,3S,"210,51",Vendida,"R$ 4.921.735,98","R$ 23.380,06",
CORAL GABLES,Apartamento2501,3S,"206,17",Vendida,"R$ 3.216.973,06","R$ 15.603,50",
EMERALD COAST,Apto. 1103,3S,"125,54",Vendida,"R$ 1.852.046,19","R$ 14.752,64",
EMERALD COAST,Apto. 1604,3S,"83,11",Vendida,"R$ 1.196.406,87","R$ 14.395,46",
OCEAN PARK,Apto 1002 N,3S,"122,55",Vendida,"R$ 1.474.000,69","R$ 12.027,75",
OCEAN PARK,Apto 1202 N,3S,"122,55",Vendida,"R$ 1.578.583,23","R$ 12.881,14",
OCEAN PARK,Apto 2303 S,3S,"79,8",Vendida,"R$ 1.017.225,78","R$ 12.747,19",
PARADISE BAY,Apto 1501,3S,"123,48",Vendida,"R$ 1.798.201,44","R$ 14.562,69",
PARADISE BAY,Apto 1905,3S,"81,53",Vendida,"R$ 1.043.494,05","R$ 12.798,90",
EMERALD COAST,Apto. 1401,3S,"147,13",Vendida,"R$ 1.553.720,00","R$ 10.560,18",
EMERALD COAST,Apto. 1201,3S,"147,13",Vendida,"R$ 1.453.480,00","R$ 9.878,88",
PARADISE BAY,Apto 1005,3S,"81,53",Vendida,"R$ 935.670,47","R$ 11.476,39",
SUNSET TOWER,Síndico,3S,100,Vendida,R$ -,R$ -,
THE WAVE,Apartamento1703,3S,"120,29",Vendida,"R$ 1.802.467,61","R$ 14.984,35",
EMERALD COAST,Apto. 2204,3S,"83,11",Vendida,"R$ 1.392.025,97","R$ 16.749,20",
EMERALD COAST,Apto. 1001,3S,"147,13",Vendida,"R$ 2.487.781,02","R$ 16.908,73",
PARADISE BAY,Apto 905,3S,"81,53",Vendida,"R$ 930.784,81","R$ 11.416,47",
OCEAN PARK,Apto 1403 S,3S,"79,8",Vendida,"R$ 979.255,51","R$ 12.271,37",
